row_index,session_id,consistency_native_web_model_ua_strength,consistency_native_web_model_ua_match,consistency_native_web_android_version_match,consistency_native_web_android_version_delta,consistency_native_web_screen_width_error_ratio,consistency_native_web_screen_height_error_ratio,consistency_native_web_screen_max_error_ratio,consistency_native_web_screen_score,consistency_native_web_screen_consistent_10pct,consistency_native_web_cpu_platform_match,consistency_native_web_cpu_platform_known,consistency_native_web_gpu_family_score,consistency_native_web_gpu_family_match,consistency_native_web_gpu_software_or_desktop,consistency_native_web_touch_mobile_match,consistency_native_web_memory_delta_gb,consistency_native_web_memory_score,consistency_native_web_desktop_or_bot_ua,consistency_native_webview_agent_model_match,consistency_native_webview_agent_android_version_match,consistency_native_webview_agent_android_version_delta,consistency_native_webview_bridge_injected,consistency_native_webview_package_expected,consistency_native_webview_installer_official_like,consistency_native_webview_installer_manual,consistency_native_webview_debug_cleartext_tension,consistency_webview_web_chrome_major_match,consistency_webview_web_chrome_major_delta,consistency_webview_web_ua_has_wv_token,consistency_webview_web_bridge_mobile_runtime_match,consistency_webview_web_non_browser_ua,consistency_tri_layer_core_integrity_pass,consistency_tri_layer_sensor_bridge_fail,consistency_tri_layer_manual_timezone_or_adb,consistency_tri_layer_adb_full_battery_signal,consistency_tri_layer_official_installer_core_pass,consistency_tri_layer_mean_match_score,consistency_tri_layer_failure_count,llm_label.risk_score
0,31a99d07-a4c9-4fd3-8caa-06492f7a1034,1.0,1.0,1.0,0.0,0.0006944444444444445,0.0003125,0.0006944444444444445,0.9965277777777778,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2.928272247314453,0.2679319381713867,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.9994212962962963,0.0,42
1,248cb61b-8821-430b-861e-714052bc4231,1.0,1.0,1.0,0.0,0.0,0.00042052144659377626,0.00042052144659377626,0.9978973927670312,1.0,1.0,1.0,0.85,1.0,0.0,1.0,3.186351776123047,0.20341205596923828,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.9746495654611719,0.0,15
2,65e9dcef-d91d-4861-9ffd-d19488ad98b8,1.0,1.0,1.0,0.0,0.0,0.0004248088360237893,0.0004248088360237893,0.9978759558198811,1.0,1.0,1.0,0.85,1.0,0.0,1.0,7.1140289306640625,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.9746459926366469,0.0,15
3,09148467-4d90-493c-96f5-d5f6e7bdc2e8,1.0,1.0,1.0,0.0,0.001639344262295082,0.11173699303564114,0.11173699303564114,0.44131503482179435,0.0,1.0,1.0,0.85,1.0,0.0,1.0,2.9291763305664062,0.26770591735839844,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.8818858391369657,1.0,15
4,a204dce8-baf4-4ea7-b36b-207416e10e37,1.0,1.0,1.0,0.0,0.0020833333333333333,0.0005617977528089888,0.0020833333333333333,0.9895833333333334,1.0,1.0,1.0,1.0,1.0,0.0,1.0,6.7592315673828125,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.998263888888889,0.0,15
5,e5cd5039-d710-4028-bae6-0049e32e6608,1.0,1.0,1.0,0.0,0.0015723270440251573,0.0012626262626262627,0.0015723270440251573,0.9921383647798742,1.0,1.0,1.0,0.85,1.0,0.0,1.0,6.932136535644531,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.9736897274633124,0.0,15
6,d3a54276-b87f-4918-9161-0bb8cf971149,1.0,1.0,1.0,0.0,0.0020161290322580645,0.0012626262626262627,0.0020161290322580645,0.9899193548387096,1.0,1.0,1.0,1.0,1.0,0.0,1.0,14.549560546875,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.9983198924731184,0.0,15
7,fd87aabd-94ce-4f71-8ccc-e5e426cdec53,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,3.0207862854003906,0.24480342864990234,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,15
8,582c569f-eb2b-48a3-85df-98c9a381a7ab,1.0,1.0,1.0,0.0,0.0015723270440251573,0.0012626262626262627,0.0015723270440251573,0.9921383647798742,1.0,1.0,1.0,0.85,1.0,0.0,1.0,6.932136535644531,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.9736897274633124,0.0,15
9,ceb1ca27-4369-42fc-b767-c5a5e388faf7,1.0,1.0,1.0,0.0,0.0,0.0006476683937823834,0.0006476683937823834,0.9967616580310881,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2.787036895751953,0.3032407760620117,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.9994602763385148,0.0,15
