source_type,group_id,rows,fold,risk_score_mean,sample_model,sample_installer,sample_ua
cloud_device,cloud_device::e3b9d317ff,91,1,43.73626373626374,moto g71 5G,manual,"Mozilla/5.0 (Linux; Android 11; moto g71 5G Build/RRUB31.Q3-71-102-2; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/142.0.7444.171 Mobile Safari/537.36"
cloud_device,cloud_device::ac13217555,65,2,42.44615384615385,CPH2487,manual,"Mozilla/5.0 (Linux; Android 13; CPH2487 Build/SKQ1.221012.001; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/142.0.7444.171 Mobile Safari/537.36"
cloud_device,cloud_device::50e747ec5e,52,3,43.03846153846154,2201117TI,manual,"Mozilla/5.0 (Linux; Android 11; 2201117TI Build/RKQ1.211001.001; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/142.0.7444.171 Mobile Safari/537.36"
cloud_device,cloud_device::626208c4e8,52,2,42.92307692307692,2201117TI,manual,"Mozilla/5.0 (Linux; Android 11; 2201117TI Build/RKQ1.211001.001; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/142.0.7444.171 Mobile Safari/537.36"
cloud_device,cloud_device::8ed5b096a8,38,3,43.26315789473684,CPH2251,manual,"Mozilla/5.0 (Linux; Android 11; CPH2251 Build/RP1A.200720.011; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/142.0.7444.171 Mobile Safari/537.36"
cloud_device,cloud_device::0d99f8f499,31,1,42.87096774193548,V2111,manual,"Mozilla/5.0 (Linux; Android 11; V2111 Build/RP1A.200720.012; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/142.0.7444.171 Mobile Safari/537.36"
cloud_device,cloud_device::739ab95952,25,1,44.04,Pixel 8,manual,"Mozilla/5.0 (Linux; Android 14; Pixel 8 Build/UD1A.230803.041; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/142.0.7444.171 Mobile Safari/537.36"
cloud_device,cloud_device::b796edf63e,25,3,42.72,CPH2251,manual,"Mozilla/5.0 (Linux; Android 11; CPH2251 Build/RP1A.200720.011; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/142.0.7444.171 Mobile Safari/537.36"
cloud_device,cloud_device::d681a88e51,25,1,43.48,Pixel 7,manual,"Mozilla/5.0 (Linux; Android 13; Pixel 7 Build/TD1A.220804.009.A2; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/142.0.7444.171 Mobile Safari/537.36"
cloud_device,cloud_device::86490eeb54,20,1,41.35,SM-S901B,manual,"Mozilla/5.0 (Linux; Android 12; SM-S901B Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/142.0.7444.171 Mobile Safari/537.36"
cloud_device,cloud_device::345b12d3f8,14,1,42.42857142857143,Pixel 8 Pro,manual,"Mozilla/5.0 (Linux; Android 14; Pixel 8 Pro Build/UD1A.230803.041; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/142.0.7444.171 Mobile Safari/537.36"
