field,layer,type
android_native_data.battery_dynamics_layer.battery_health_code,android_native_data,number
android_native_data.battery_dynamics_layer.battery_level_pct,android_native_data,number
android_native_data.battery_dynamics_layer.battery_plugged_code,android_native_data,number
android_native_data.battery_dynamics_layer.battery_status_code,android_native_data,number
android_native_data.battery_dynamics_layer.battery_technology,android_native_data,string
android_native_data.battery_dynamics_layer.battery_temp_celsius,android_native_data,number
android_native_data.battery_dynamics_layer.battery_voltage_mv,android_native_data,number
android_native_data.battery_dynamics_layer.is_charging,android_native_data,boolean
android_native_data.build_fingerprint_layer.build_bootloader,android_native_data,string
android_native_data.build_fingerprint_layer.build_display,android_native_data,string
android_native_data.build_fingerprint_layer.build_fingerprint,android_native_data,string
android_native_data.build_fingerprint_layer.build_id,android_native_data,string
android_native_data.build_fingerprint_layer.build_tags,android_native_data,string
android_native_data.build_fingerprint_layer.build_time_ms,android_native_data,number
android_native_data.build_fingerprint_layer.build_type,android_native_data,string
android_native_data.build_fingerprint_layer.cpu_abi,android_native_data,string
android_native_data.build_fingerprint_layer.device_board,android_native_data,string
android_native_data.build_fingerprint_layer.device_brand,android_native_data,string
android_native_data.build_fingerprint_layer.device_hardware,android_native_data,string
android_native_data.build_fingerprint_layer.device_manufacturer,android_native_data,string
android_native_data.build_fingerprint_layer.device_model,android_native_data,string
android_native_data.build_fingerprint_layer.device_product,android_native_data,string
android_native_data.build_fingerprint_layer.elapsed_realtime_ms,android_native_data,number
android_native_data.build_fingerprint_layer.kernel_arch,android_native_data,string
android_native_data.build_fingerprint_layer.os_api_level,android_native_data,number
android_native_data.build_fingerprint_layer.os_version,android_native_data,string
android_native_data.build_fingerprint_layer.security_patch,android_native_data,string
android_native_data.build_fingerprint_layer.supported_abis,android_native_data,array
android_native_data.build_fingerprint_layer.uptime_ms,android_native_data,number
android_native_data.graphics_layer.egl_renderer,android_native_data,string
android_native_data.graphics_layer.egl_vendor,android_native_data,string
android_native_data.graphics_layer.gles_version,android_native_data,string
android_native_data.graphics_layer.native_gpu_renderer,android_native_data,string
android_native_data.graphics_layer.native_gpu_vendor,android_native_data,string
android_native_data.locale_timezone_layer.native_country,android_native_data,string
android_native_data.locale_timezone_layer.native_language,android_native_data,string
android_native_data.locale_timezone_layer.native_locale,android_native_data,string
android_native_data.locale_timezone_layer.native_timezone_id,android_native_data,string
android_native_data.locale_timezone_layer.native_timezone_offset_min,android_native_data,number
android_native_data.memory_layer.avail_memory_gb,android_native_data,number
android_native_data.memory_layer.is_low_memory,android_native_data,boolean
android_native_data.memory_layer.memory_threshold_gb,android_native_data,number
android_native_data.memory_layer.total_memory_gb,android_native_data,number
android_native_data.network_state_layer.active_network_present,android_native_data,boolean
android_native_data.network_state_layer.active_transport_types,android_native_data,array
android_native_data.network_state_layer.has_cellular_transport,android_native_data,boolean
android_native_data.network_state_layer.has_vpn_transport,android_native_data,boolean
android_native_data.network_state_layer.has_wifi_transport,android_native_data,boolean
android_native_data.network_state_layer.link_downstream_kbps,android_native_data,number
android_native_data.network_state_layer.link_upstream_kbps,android_native_data,number
android_native_data.network_state_layer.network_metered,android_native_data,boolean
android_native_data.screen_display_layer.font_scale,android_native_data,number
android_native_data.screen_display_layer.orientation_code,android_native_data,number
android_native_data.screen_display_layer.screen_density_dpi,android_native_data,number
android_native_data.screen_display_layer.screen_mode_physical_height,android_native_data,number
android_native_data.screen_display_layer.screen_mode_physical_width,android_native_data,number
android_native_data.screen_display_layer.screen_mode_refresh_rate_hz,android_native_data,number
android_native_data.screen_display_layer.screen_refresh_rate_hz,android_native_data,number
android_native_data.screen_display_layer.screen_resolution_physical,android_native_data,string
android_native_data.screen_display_layer.screen_scaled_density,android_native_data,number
android_native_data.screen_display_layer.screen_xdpi,android_native_data,number
android_native_data.screen_display_layer.screen_ydpi,android_native_data,number
android_native_data.security_config_layer.developer_options_enabled,android_native_data,boolean
android_native_data.security_config_layer.http_proxy_setting,android_native_data,string
android_native_data.security_config_layer.is_adb_enabled,android_native_data,boolean
android_native_data.security_config_layer.java_http_proxy_host,android_native_data,string
android_native_data.security_config_layer.java_http_proxy_port,android_native_data,string
android_native_data.security_config_layer.su_binary_present,android_native_data,boolean
android_native_data.sensor_matrix_layer.has_accelerometer,android_native_data,boolean
android_native_data.sensor_matrix_layer.has_gravity_sensor,android_native_data,boolean
android_native_data.sensor_matrix_layer.has_gyroscope,android_native_data,boolean
android_native_data.sensor_matrix_layer.has_light_sensor,android_native_data,boolean
android_native_data.sensor_matrix_layer.has_magnetic_field,android_native_data,boolean
android_native_data.sensor_matrix_layer.has_pressure_sensor,android_native_data,boolean
android_native_data.sensor_matrix_layer.has_proximity_sensor,android_native_data,boolean
android_native_data.sensor_matrix_layer.has_rotation_vector,android_native_data,boolean
android_native_data.sensor_matrix_layer.has_step_counter,android_native_data,boolean
android_native_data.sensor_matrix_layer.has_step_detector,android_native_data,boolean
android_native_data.sensor_matrix_layer.sensor_name_count,android_native_data,number
android_native_data.sensor_matrix_layer.sensor_total_count,android_native_data,number
android_native_data.sensor_matrix_layer.sensor_type_list,android_native_data,array
android_native_data.sensor_matrix_layer.sensor_vendor_count,android_native_data,number
android_native_data.storage_layer.data_storage_free_gb,android_native_data,number
android_native_data.storage_layer.data_storage_total_gb,android_native_data,number
collector_app,collector_app,string
schema_version,schema_version,string
session_id,session_id,string
timestamp,timestamp,number
web_data.audio_layer.audio_context_supported,web_data,boolean
web_data.audio_layer.audio_error,web_data,string
web_data.audio_layer.audio_hash,web_data,string
web_data.audio_layer.audio_output_latency,web_data,number
web_data.audio_layer.audio_sample_rate,web_data,number
web_data.automation_surface_layer.mime_types_count,web_data,number
web_data.automation_surface_layer.mime_types_hash,web_data,string
web_data.automation_surface_layer.plugin_probe_error,web_data,string
web_data.automation_surface_layer.plugins_count,web_data,number
web_data.automation_surface_layer.plugins_hash,web_data,string
web_data.automation_surface_layer.webdriver,web_data,boolean
web_data.execution_layer.compute_task_time_ms,web_data,number
web_data.execution_layer.local_storage_available,web_data,boolean
web_data.execution_layer.performance_time_origin,web_data,number
web_data.execution_layer.session_storage_available,web_data,boolean
web_data.execution_layer.timezone_id,web_data,string
web_data.execution_layer.timezone_offset,web_data,number
web_data.font_layer.available_font_hash,web_data,string
web_data.font_layer.font_probe_count,web_data,number
web_data.font_layer.font_probe_error,web_data,string
web_data.graphics_layer.canvas_hash,web_data,string
web_data.graphics_layer.webgl_aliased_line_width_range,web_data,string
web_data.graphics_layer.webgl_extensions_count,web_data,number
web_data.graphics_layer.webgl_max_texture_size,web_data,number
web_data.graphics_layer.webgl_max_viewport_dims,web_data,string
web_data.graphics_layer.webgl_renderer,web_data,string
web_data.graphics_layer.webgl_vendor,web_data,string
web_data.graphics_layer.webgl2_supported,web_data,boolean
web_data.navigator_layer.cookie_enabled,web_data,boolean
web_data.navigator_layer.device_memory,web_data,number
web_data.navigator_layer.do_not_track,web_data,string
web_data.navigator_layer.hardware_concurrency,web_data,number
web_data.navigator_layer.language,web_data,string
web_data.navigator_layer.languages,web_data,array
web_data.navigator_layer.max_touch_points,web_data,number
