platform,brand,canonical_model,model_number,source_product,os_versions_seen,os_version_count
sauce_labs,Google,Google Pixel 10,Pixel 10,real_device_cloud,16,1
sauce_labs,Google,Google Pixel 10 Pro,Pixel 10 Pro,real_device_cloud,16,1
sauce_labs,Google,Google Pixel 10 Pro Fold,Pixel 10 Pro Fold,real_device_cloud,16,1
sauce_labs,Google,Google Pixel 10 Pro XL,Pixel 10 Pro XL,real_device_cloud,16,1
sauce_labs,Google,Google Pixel 3a,Pixel 3a,real_device_cloud,11,1
sauce_labs,Google,Google Pixel 4,Pixel 4,real_device_cloud,13,1
sauce_labs,Google,Google Pixel 4 XL,Pixel 4 XL,real_device_cloud,10;11;13,3
sauce_labs,Google,Google Pixel 5,Pixel 5,real_device_cloud,11;12;13;14,4
sauce_labs,Google,Google Pixel 6,Pixel 6,real_device_cloud,12;13;15;16;17,5
sauce_labs,Google,Google Pixel 6 Pro,Pixel 6 Pro,real_device_cloud,12;13;14;15,4
sauce_labs,Google,Google Pixel 6a,Pixel 6a,real_device_cloud,12;13;15;16,4
sauce_labs,Google,Google Pixel 7,Pixel 7,real_device_cloud,13;14;15;16;17,5
sauce_labs,Google,Google Pixel 7 Pro,Pixel 7 Pro,real_device_cloud,13;14;15;16;17,5
sauce_labs,Google,Google Pixel 7a,Pixel 7a,real_device_cloud,15;16,2
sauce_labs,Google,Google Pixel 8,Pixel 8,real_device_cloud,14;15;16;17,4
sauce_labs,Google,Google Pixel 8 Pro,Pixel 8 Pro,real_device_cloud,14;15;16;17,4
sauce_labs,Google,Google Pixel 8a,Pixel 8a,real_device_cloud,15;16,2
sauce_labs,Google,Google Pixel 9,Pixel 9,real_device_cloud,14;15;16;17,4
sauce_labs,Google,Google Pixel 9 Pro,Pixel 9 Pro,real_device_cloud,14;15;16;17,4
sauce_labs,Google,Google Pixel 9 Pro Fold,Pixel 9 Pro Fold,real_device_cloud,14;16,2
sauce_labs,Google,Google Pixel 9 Pro XL,Pixel 9 Pro XL,real_device_cloud,14;15;16,3
sauce_labs,Google,Google Pixel 9a,Pixel 9a,real_device_cloud,16,1
sauce_labs,Google,Google Pixel Tablet,Pixel Tablet,real_device_cloud,14;15;16,3
sauce_labs,Samsung,Samsung Galaxy A02,SM-A022M,real_device_cloud,10,1
sauce_labs,Samsung,Samsung Galaxy A14 5G,SM-A146U1,real_device_cloud,13,1
sauce_labs,Samsung,Samsung Galaxy A23 5G,SM-A236U1,real_device_cloud,13,1
sauce_labs,Samsung,Samsung Galaxy A31,SM-A315G,real_device_cloud,10,1
sauce_labs,Samsung,Samsung Galaxy A32 5G,SM-A326U1,real_device_cloud,13,1
sauce_labs,Samsung,Samsung Galaxy A34,SM-A346E,real_device_cloud,15,1
sauce_labs,Samsung,Samsung Galaxy A50,SM-A505F,real_device_cloud,11,1
sauce_labs,Samsung,Samsung Galaxy A51,SM-A515U,real_device_cloud,11;13,2
sauce_labs,Samsung,Samsung Galaxy A54,SM-A546U1,real_device_cloud,14;15,2
sauce_labs,Samsung,Samsung Galaxy A71 5G,SM-A716U1,real_device_cloud,11,1
sauce_labs,Samsung,Samsung Galaxy A9 2018,SM-A920F,real_device_cloud,10,1
sauce_labs,Samsung,Samsung Galaxy Fold 5G,SM-F907B,real_device_cloud,11,1
sauce_labs,Samsung,Samsung Galaxy Note 10,SM-N970U1,real_device_cloud,11,1
sauce_labs,Samsung,Samsung Galaxy Note 10 Plus,SM-N975U1,real_device_cloud,11,1
sauce_labs,Samsung,Samsung Galaxy Note 20 Ultra 5G,SM-N986U1,real_device_cloud,11,1
sauce_labs,Samsung,Samsung Galaxy Note 9,SM-N960U1,real_device_cloud,10,1
sauce_labs,Samsung,Samsung Galaxy Note20 5G,SM-N981U1,real_device_cloud,12,1
sauce_labs,Samsung,Samsung Galaxy S10,SM-G973U1,real_device_cloud,11,1
sauce_labs,Samsung,Samsung Galaxy S10 Plus,SM-G975U1,real_device_cloud,11,1
sauce_labs,Samsung,Samsung Galaxy S10e,SM-G970U,real_device_cloud,11,1
sauce_labs,Samsung,Samsung Galaxy S10e,SM-G970U1,real_device_cloud,11,1
sauce_labs,Samsung,Samsung Galaxy S20,SM-G981U,real_device_cloud,11,1
sauce_labs,Samsung,Samsung Galaxy S20 FE 5G,SM-G781U1,real_device_cloud,12,1
sauce_labs,Samsung,Samsung Galaxy S20 Plus,SM-G986U,real_device_cloud,11;12,2
sauce_labs,Samsung,Samsung Galaxy S20 Ultra,SM-G988U1,real_device_cloud,11,1
sauce_labs,Samsung,Samsung Galaxy S21 5G,SM-G991U1,real_device_cloud,11;12;13;14,4
sauce_labs,Samsung,Samsung Galaxy S21 FE 5G,SM-G990U1,real_device_cloud,14,1
sauce_labs,Samsung,Samsung Galaxy S21 Plus 5G,SM-G996U1,real_device_cloud,11;12;13;14;15,5
sauce_labs,Samsung,Samsung Galaxy S21 Ultra 5G,SM-G998U1,real_device_cloud,11;12;13;14;15,5
sauce_labs,Samsung,Samsung Galaxy S22 5G,SM-S901U1,real_device_cloud,12;13;14;15;16,5
sauce_labs,Samsung,Samsung Galaxy S22 Plus 5G,SM-S906U1,real_device_cloud,12;13;14;15;16,5
sauce_labs,Samsung,Samsung Galaxy S22 Ultra,SM-S908U1,real_device_cloud,12;13;15;16,4
sauce_labs,Samsung,Samsung Galaxy S22 Ultra 5G,SM-S908U,real_device_cloud,14,1
sauce_labs,Samsung,Samsung Galaxy S23,SM-S911B,real_device_cloud,14,1
sauce_labs,Samsung,Samsung Galaxy S23,SM-S911U1,real_device_cloud,13;14;15;16,4
sauce_labs,Samsung,Samsung Galaxy S23 FE,SM-S711U,real_device_cloud,14;15,2
sauce_labs,Samsung,Samsung Galaxy S23 FE,SM-S711U1,real_device_cloud,16,1
sauce_labs,Samsung,Samsung Galaxy S23 Plus,SM-S916U1,real_device_cloud,13;14;15;16,4
sauce_labs,Samsung,Samsung Galaxy S23 Ultra,SM-S918U1,real_device_cloud,13;14;15;16,4
sauce_labs,Samsung,Samsung Galaxy S24,SM-S921U1,real_device_cloud,14;15;16,3
sauce_labs,Samsung,Samsung Galaxy S24 FE,SM-S721U1,real_device_cloud,14;16,2
sauce_labs,Samsung,Samsung Galaxy S24 Plus,SM-S926U1,real_device_cloud,14;16,2
sauce_labs,Samsung,Samsung Galaxy S24 Ultra,SM-S928U1,real_device_cloud,14;16,2
sauce_labs,Samsung,Samsung Galaxy S25,SM-S931U1,real_device_cloud,15;16,2
sauce_labs,Samsung,Samsung Galaxy S25 Edge,SM-S937U1,real_device_cloud,15;16,2
