platform,row_key,hardware_model,model_name,brand,memory_gb
wetest,,TAS-AL00,华为 Mate 30,HUAWEI,8.0
wetest,,V1981A,iQOO Neo3 5G,vivo,8.0
wetest,,BLA-AL00,华为 Mate 10 Pro,HUAWEI,6.0
wetest,,PEMM00,OPPO A55,OPPO,6.0
wetest,,M2003J15SC,红米 10X 4G,Xiaomi,4.0
wetest,,PCLM50,OPPO Reno3元气版,OPPO,8.0
wetest,,M2007J17C,红米 Note 9 Pro 5G,Xiaomi,8.0
wetest,,M2006J10C,红米 K30 至尊纪念版,Xiaomi,8.0
wetest,,M2004J19C,红米 9,Xiaomi,3.0
wetest,,V2054A,vivo Y31s,vivo,6.0
wetest,,PEAM00,OPPO Reno4 SE,OPPO,8.0
wetest,,ANA-AN00,华为 P40,HUAWEI,6.0
wetest,,V2031A,vivo Y73s,vivo,6.0
wetest,,KB2000,一加 8T 5G,OnePlus,8.0
wetest,,PDKT00,OPPO A92s,OPPO,8.0
wetest,,OXP-AN00,荣耀 Play4 Pro,HONOR,8.0
wetest,,OXF-AN10,荣耀 V30 Pro,HUAWEI,8.0
wetest,,CDY-AN90,荣耀 30S,HUAWEI,8.0
wetest,,EBG-AN00,荣耀 30 Pro,HUAWEI,8.0
wetest,,PAFM00,OPPO Find X,OPPO,8.0
wetest,,V1950A,vivo NEX 3S,vivo,8.0
wetest,,JEF-AN00,华为 nova7 5G,HUAWEI,8.0
wetest,,Mi 10 Pro,小米10 Pro,Xiaomi,8.0
wetest,,PEGM00,OPPO Reno 5,OPPO,8.0
wetest,,PBBT00,OPPO A7x,OPPO,4.0
wetest,,Redmi 5 Plus,红米 5 Plus,Xiaomi,4.0
wetest,,vivo X21UD A,vivo X21 屏幕指纹版,vivo,6.0
wetest,,V1838A,vivo X27,vivo,8.0
wetest,,V1901A,vivo Y3,vivo,4.0
wetest,,MI 9 Transparent Edition,小米9 透明尊享版,Xiaomi,12.0
wetest,,RMX2200,真我 V3 5G,realme,4.0
wetest,,PCKM80,OPPO Reno2 Z,OPPO,8.0
wetest,,Redmi Note 7 Pro,红米 Note 7 Pro,Xiaomi,6.0
wetest,,FRD-AL10,荣耀8 高配版,HONOR,4.0
wetest,,PCAM10,OPPO A9,OPPO,4.0
wetest,,PBEM00,OPPO R17,OPPO,8.0
wetest,,V2023A,iQOO U1,vivo,6.0
wetest,,Mi 10,小米10,Xiaomi,8.0
wetest,,Redmi K20 Pro,红米 K20 Pro,Xiaomi,6.0
wetest,,VOG-AL00,华为 P30 Pro,HUAWEI,8.0
wetest,,vivo X21A,vivo X21A,vivo,6.0
wetest,,V1816A,vivo X23 炫彩版,vivo,6.0
wetest,,LYA-AL00,华为 Mate 20 Pro,HUAWEI,8.0
