environment_group_id,config_id,cohort,mechanism_status,tool_names,declared_field_sets,bundles,triplet_or_partial_groups,stages,eligible_attack,eligible_pre,eligible_post,unknown_label_stages
env-001,UNSPECIFIED_CONTROL_CONFIG,temporal_control_unknown,UNVERIFIED,UNKNOWN,NOT_DECLARED,1,3,9,0,0,0,9
env-001,w6-tool-055-legacy-default-v1,admitted_attack_triplet,UNVERIFIED,Puppeteer,declared-fields-04,1,3,9,3,3,3,0
env-001,w6-tool-056-legacy-default-v1,admitted_attack_triplet,UNVERIFIED,Chrome DevTools Protocol,declared-fields-04,1,3,9,3,3,3,0
env-001,w6-tool-056-legacy-default-v1,incomplete_attempt,UNVERIFIED,Chrome DevTools Protocol,declared-fields-04,1,1,1,0,0,0,1
env-001,w6-tool-056-legacy-default-v1,lower_evidence_attack,UNVERIFIED,Chrome DevTools Protocol,declared-fields-04,1,3,9,0,0,0,9
env-001,w6-tool-058-legacy-default-v1,admitted_attack_triplet,UNVERIFIED,puppeteer-extra-plugin-stealth,declared-fields-02,1,3,9,3,3,3,0
env-002,UNSPECIFIED_CONTROL_CONFIG,temporal_control_unknown,UNVERIFIED,UNKNOWN,NOT_DECLARED,1,3,9,0,0,0,9
env-002,w6-tool-056-legacy-default-v1,admitted_attack_triplet,UNVERIFIED,Chrome DevTools Protocol,declared-fields-04,1,3,9,3,3,3,0
env-002,w6-tool-056-legacy-default-v1,lower_evidence_attack,UNVERIFIED,Chrome DevTools Protocol,declared-fields-04,1,3,9,0,0,0,9
env-002,w6-tool-058-legacy-default-v1,admitted_attack_triplet,UNVERIFIED,puppeteer-extra-plugin-stealth,declared-fields-02,1,3,9,3,3,3,0
env-002,w6-tool-058-legacy-default-v1,lower_evidence_attack,UNVERIFIED,puppeteer-extra-plugin-stealth,declared-fields-02,1,3,9,0,0,0,9
env-003,UNSPECIFIED_CONTROL_CONFIG,temporal_control_unknown,UNVERIFIED,UNKNOWN,NOT_DECLARED,4,12,36,0,0,0,36
env-003,w10-cdp-emulation-screen-metrics-only-v1,admitted_attack_triplet,UNVERIFIED,Chrome DevTools Protocol,declared-fields-12,1,3,9,3,3,3,0
env-003,w10-cdp-emulation-timezone-only-v1,admitted_attack_triplet,UNVERIFIED,Chrome DevTools Protocol,declared-fields-05,1,3,9,3,3,3,0
env-003,w6-tool-054-legacy-default-v1,admitted_attack_triplet,UNVERIFIED,Playwright,declared-fields-04,1,3,9,3,3,3,0
env-003,w6-tool-056-legacy-default-v1,admitted_attack_triplet,UNVERIFIED,Chrome DevTools Protocol,declared-fields-04,1,3,9,3,3,3,0
env-003,w6-tool-056-legacy-default-v1,lower_evidence_attack,UNVERIFIED,Chrome DevTools Protocol,declared-fields-04,1,3,9,0,0,0,9
env-003,w6-tool-058-legacy-default-v1,admitted_attack_triplet,UNVERIFIED,puppeteer-extra-plugin-stealth,declared-fields-02,1,3,9,3,3,3,0
env-003,w6-tool-058-legacy-default-v1,lower_evidence_attack,UNVERIFIED,puppeteer-extra-plugin-stealth,declared-fields-02,1,3,9,0,0,0,9
env-003,w9-rule-boundary-cdp-platform-only-v1,admitted_attack_triplet,UNVERIFIED,Chrome DevTools Protocol,declared-fields-09,1,3,9,3,3,3,0
env-003,w9-rule-boundary-cdp-resource-pair-v1,admitted_attack_triplet,UNVERIFIED,Chrome DevTools Protocol,declared-fields-07,1,3,9,3,3,3,0
env-003,w9-rule-boundary-cdp-ua-only-v1,admitted_attack_triplet,UNVERIFIED,Chrome DevTools Protocol,declared-fields-11,1,3,9,3,3,3,0
env-003,w9-rule-boundary-cdp-ua-platform-desktop-v1,admitted_attack_triplet,UNVERIFIED,Chrome DevTools Protocol,declared-fields-10,1,3,9,3,3,3,0
env-003,w9-rule-boundary-cdp-webdriver-only-v1,admitted_attack_triplet,UNVERIFIED,Chrome DevTools Protocol,declared-fields-03,1,3,9,3,3,3,0
env-003,w9-stealth-boundary-languages-only-v1,admitted_attack_triplet,UNVERIFIED,puppeteer-extra-plugin-stealth,declared-fields-08,1,3,9,3,3,3,0
env-003,w9-stealth-boundary-plugins-mime-v1,admitted_attack_triplet,UNVERIFIED,puppeteer-extra-plugin-stealth,declared-fields-01,1,3,9,3,3,3,0
env-003,w9-stealth-boundary-webgl-pair-v1,admitted_attack_triplet,UNVERIFIED,puppeteer-extra-plugin-stealth,declared-fields-06,1,3,9,3,3,3,0
