phase,fold_id,field,unit,n,mean,median,p95_nearest_rank,minimum,maximum,sum,role
COLD,ALL_FOLDS,cached_input_read_parse_ns,ns,162,90572.48765432098,88770.5,115916,76875,190875,14672743,DESCRIPTIVE_ALL_PLANNED_PASSES_NO_SELECTION
COLD,ALL_FOLDS,fixed_feature_conversion_ns,ns,162,60110.30864197531,57708.0,76875,51125,167333,9737870,DESCRIPTIVE_ALL_PLANNED_PASSES_NO_SELECTION
COLD,ALL_FOLDS,predict_including_explanation_and_model_integrity_ns,ns,162,62331.8024691358,55812.5,88542,48417,117292,10097752,DESCRIPTIVE_ALL_PLANNED_PASSES_NO_SELECTION
COLD,ALL_FOLDS,semantic_verification_ns,ns,162,1711.969135802469,1395.5,3667,1000,5875,277339,DESCRIPTIVE_ALL_PLANNED_PASSES_NO_SELECTION
COLD,ALL_FOLDS,prediction_serialization_ns,ns,162,12349.314814814816,11541.5,15209,9917,72000,2000589,DESCRIPTIVE_ALL_PLANNED_PASSES_NO_SELECTION
COLD,ALL_FOLDS,sample_inclusive_ns,ns,162,230318.14814814815,217520.5,299750,192125,470958,37311540,DESCRIPTIVE_ALL_PLANNED_PASSES_NO_SELECTION
COLD,ALL_FOLDS,ipc_request_response_inclusive_ns,ns,162,263211.3765432099,248479.0,367125,214209,562375,42640243,DESCRIPTIVE_ALL_PLANNED_PASSES_NO_SELECTION
COLD,LOEO-v1-01,cached_input_read_parse_ns,ns,27,96279.22222222222,92166,121333,83166,145000,2599539,DESCRIPTIVE_ALL_PLANNED_PASSES_NO_SELECTION
COLD,LOEO-v1-01,fixed_feature_conversion_ns,ns,27,65362.62962962963,60709,80583,54041,167333,1764791,DESCRIPTIVE_ALL_PLANNED_PASSES_NO_SELECTION
COLD,LOEO-v1-01,predict_including_explanation_and_model_integrity_ns,ns,27,79145.07407407407,76125,100416,70625,117292,2136917,DESCRIPTIVE_ALL_PLANNED_PASSES_NO_SELECTION
COLD,LOEO-v1-01,semantic_verification_ns,ns,27,2569.4444444444443,2125,4166,1500,5875,69375,DESCRIPTIVE_ALL_PLANNED_PASSES_NO_SELECTION
COLD,LOEO-v1-01,prediction_serialization_ns,ns,27,13301.074074074075,12708,17041,11375,18208,359129,DESCRIPTIVE_ALL_PLANNED_PASSES_NO_SELECTION
COLD,LOEO-v1-01,sample_inclusive_ns,ns,27,259933.59259259258,245208,327667,226792,458125,7018207,DESCRIPTIVE_ALL_PLANNED_PASSES_NO_SELECTION
COLD,LOEO-v1-01,ipc_request_response_inclusive_ns,ns,27,295466.037037037,278708,379667,250041,548959,7977583,DESCRIPTIVE_ALL_PLANNED_PASSES_NO_SELECTION
COLD,LOEO-v1-02,cached_input_read_parse_ns,ns,18,103562.55555555556,95000.0,190875,87042,190875,1864126,DESCRIPTIVE_ALL_PLANNED_PASSES_NO_SELECTION
COLD,LOEO-v1-02,fixed_feature_conversion_ns,ns,18,69113.44444444444,63333.5,140333,57208,140333,1244042,DESCRIPTIVE_ALL_PLANNED_PASSES_NO_SELECTION
COLD,LOEO-v1-02,predict_including_explanation_and_model_integrity_ns,ns,18,83666.83333333333,79521.0,114625,72292,114625,1506003,DESCRIPTIVE_ALL_PLANNED_PASSES_NO_SELECTION
COLD,LOEO-v1-02,semantic_verification_ns,ns,18,2111.0555555555557,1854.0,3750,1292,3750,37999,DESCRIPTIVE_ALL_PLANNED_PASSES_NO_SELECTION
COLD,LOEO-v1-02,prediction_serialization_ns,ns,18,13407.388888888889,12813.0,18792,11208,18792,241333,DESCRIPTIVE_ALL_PLANNED_PASSES_NO_SELECTION
COLD,LOEO-v1-02,sample_inclusive_ns,ns,18,275057.94444444444,255021.0,470958,239083,470958,4951043,DESCRIPTIVE_ALL_PLANNED_PASSES_NO_SELECTION
COLD,LOEO-v1-02,ipc_request_response_inclusive_ns,ns,18,315759.1666666667,291562.5,562375,275417,562375,5683665,DESCRIPTIVE_ALL_PLANNED_PASSES_NO_SELECTION
COLD,LOEO-v1-03,cached_input_read_parse_ns,ns,117,87257.07692307692,87708,98458,76875,134125,10209078,DESCRIPTIVE_ALL_PLANNED_PASSES_NO_SELECTION
COLD,LOEO-v1-03,fixed_feature_conversion_ns,ns,117,57513.13675213675,56250,65666,51125,92458,6729037,DESCRIPTIVE_ALL_PLANNED_PASSES_NO_SELECTION
COLD,LOEO-v1-03,predict_including_explanation_and_model_integrity_ns,ns,117,55169.50427350427,54625,62542,48417,90667,6454832,DESCRIPTIVE_ALL_PLANNED_PASSES_NO_SELECTION
COLD,LOEO-v1-03,semantic_verification_ns,ns,117,1452.6923076923076,1334,2458,1000,4417,169965,DESCRIPTIVE_ALL_PLANNED_PASSES_NO_SELECTION
COLD,LOEO-v1-03,prediction_serialization_ns,ns,117,11966.897435897436,11292,13625,9917,72000,1400127,DESCRIPTIVE_ALL_PLANNED_PASSES_NO_SELECTION
COLD,LOEO-v1-03,sample_inclusive_ns,ns,117,216600.76923076922,213125,255375,192125,410916,25342290,DESCRIPTIVE_ALL_PLANNED_PASSES_NO_SELECTION
COLD,LOEO-v1-03,ipc_request_response_inclusive_ns,ns,117,247683.71794871794,243084,300042,214209,509417,28978995,DESCRIPTIVE_ALL_PLANNED_PASSES_NO_SELECTION
WARMUP,ALL_FOLDS,cached_input_read_parse_ns,ns,162,89718.58024691358,86291.5,106084,77416,382625,14534410,DESCRIPTIVE_ALL_PLANNED_PASSES_NO_SELECTION
WARMUP,ALL_FOLDS,fixed_feature_conversion_ns,ns,162,58531.08024691358,55770.5,70792,49917,213625,9482035,DESCRIPTIVE_ALL_PLANNED_PASSES_NO_SELECTION
WARMUP,ALL_FOLDS,predict_including_explanation_and_model_integrity_ns,ns,162,59579.7037037037,53458.5,84709,48333,119584,9651912,DESCRIPTIVE_ALL_PLANNED_PASSES_NO_SELECTION
WARMUP,ALL_FOLDS,semantic_verification_ns,ns,162,1578.9382716049383,1416.0,2834,1000,5417,255788,DESCRIPTIVE_ALL_PLANNED_PASSES_NO_SELECTION
WARMUP,ALL_FOLDS,prediction_serialization_ns,ns,162,11387.555555555555,11042.0,14916,9791,20792,1844784,DESCRIPTIVE_ALL_PLANNED_PASSES_NO_SELECTION
WARMUP,ALL_FOLDS,sample_inclusive_ns,ns,162,223608.27777777778,209750.0,290792,192542,499458,36224541,DESCRIPTIVE_ALL_PLANNED_PASSES_NO_SELECTION
WARMUP,ALL_FOLDS,ipc_request_response_inclusive_ns,ns,162,254815.37037037036,237770.5,333708,212292,525458,41280090,DESCRIPTIVE_ALL_PLANNED_PASSES_NO_SELECTION
WARMUP,LOEO-v1-01,cached_input_read_parse_ns,ns,27,92223.70370370371,91000,110375,80209,113917,2490040,DESCRIPTIVE_ALL_PLANNED_PASSES_NO_SELECTION
WARMUP,LOEO-v1-01,fixed_feature_conversion_ns,ns,27,59782.37037037037,58250,70792,52208,72291,1614124,DESCRIPTIVE_ALL_PLANNED_PASSES_NO_SELECTION
WARMUP,LOEO-v1-01,predict_including_explanation_and_model_integrity_ns,ns,27,74461.37037037036,74167,89916,66208,91000,2010457,DESCRIPTIVE_ALL_PLANNED_PASSES_NO_SELECTION
WARMUP,LOEO-v1-01,semantic_verification_ns,ns,27,1814.851851851852,1667,2834,1209,2959,49001,DESCRIPTIVE_ALL_PLANNED_PASSES_NO_SELECTION
WARMUP,LOEO-v1-01,prediction_serialization_ns,ns,27,12157.407407407407,11958,15375,10625,15500,328250,DESCRIPTIVE_ALL_PLANNED_PASSES_NO_SELECTION
WARMUP,LOEO-v1-01,sample_inclusive_ns,ns,27,243456.88888888888,238750,290792,214541,294334,6573336,DESCRIPTIVE_ALL_PLANNED_PASSES_NO_SELECTION
WARMUP,LOEO-v1-01,ipc_request_response_inclusive_ns,ns,27,276180.7037037037,271375,333708,235125,340542,7456879,DESCRIPTIVE_ALL_PLANNED_PASSES_NO_SELECTION
WARMUP,LOEO-v1-02,cached_input_read_parse_ns,ns,18,97664.33333333333,94000.0,148458,86208,148458,1757958,DESCRIPTIVE_ALL_PLANNED_PASSES_NO_SELECTION
WARMUP,LOEO-v1-02,fixed_feature_conversion_ns,ns,18,63949.11111111111,60021.0,88584,55334,88584,1151084,DESCRIPTIVE_ALL_PLANNED_PASSES_NO_SELECTION
WARMUP,LOEO-v1-02,predict_including_explanation_and_model_integrity_ns,ns,18,83090.05555555556,78041.5,119584,71750,119584,1495621,DESCRIPTIVE_ALL_PLANNED_PASSES_NO_SELECTION
WARMUP,LOEO-v1-02,semantic_verification_ns,ns,18,2520.777777777778,2333.5,5417,1500,5417,45374,DESCRIPTIVE_ALL_PLANNED_PASSES_NO_SELECTION
WARMUP,LOEO-v1-02,prediction_serialization_ns,ns,18,13349.555555555555,12145.5,20792,10958,20792,240292,DESCRIPTIVE_ALL_PLANNED_PASSES_NO_SELECTION
WARMUP,LOEO-v1-02,sample_inclusive_ns,ns,18,263782.44444444444,246333.0,372417,232500,372417,4748084,DESCRIPTIVE_ALL_PLANNED_PASSES_NO_SELECTION
WARMUP,LOEO-v1-02,ipc_request_response_inclusive_ns,ns,18,302439.72222222225,283854.5,429458,268250,429458,5443915,DESCRIPTIVE_ALL_PLANNED_PASSES_NO_SELECTION
WARMUP,LOEO-v1-03,cached_input_read_parse_ns,ns,117,87918.05128205128,83750,97166,77416,382625,10286412,DESCRIPTIVE_ALL_PLANNED_PASSES_NO_SELECTION
WARMUP,LOEO-v1-03,fixed_feature_conversion_ns,ns,117,57408.77777777778,54542,60541,49917,213625,6716827,DESCRIPTIVE_ALL_PLANNED_PASSES_NO_SELECTION
WARMUP,LOEO-v1-03,predict_including_explanation_and_model_integrity_ns,ns,117,52528.49572649573,51458,58042,48333,86917,6145834,DESCRIPTIVE_ALL_PLANNED_PASSES_NO_SELECTION
WARMUP,LOEO-v1-03,semantic_verification_ns,ns,117,1379.5982905982905,1292,2042,1000,3500,161413,DESCRIPTIVE_ALL_PLANNED_PASSES_NO_SELECTION
