config_id,attacks,C0_detected,W0_detected,cohorts,primary_reasons,secondary_reasons
w10-cdp-emulation-screen-metrics-only-v1,3,0,0,"{""BOTH_MISSED"": 3}","[""REPRESENTATION_GAP""]","[""FOLD_SHIFT_CONFIGURATION_ABSENT_FROM_TRAIN"", ""PRUNED_BY_SUPPORT""]"
w10-cdp-emulation-timezone-only-v1,3,0,0,"{""BOTH_MISSED"": 3}","[""REPRESENTATION_GAP""]","[""BUDGET_OR_COMPLEXITY"", ""FOLD_SHIFT_CONFIGURATION_ABSENT_FROM_TRAIN"", ""PRUNED_BY_SUPPORT""]"
w6-tool-054-legacy-default-v1,3,3,3,"{""BOTH_DETECTED"": 3}","[""NOT_A_C0_MISS_REFERENCE""]","[""BUDGET_OR_COMPLEXITY"", ""FOLD_SHIFT_CONFIGURATION_ABSENT_FROM_TRAIN"", ""FOLD_SHIFT_ZERO_MARGINAL_TRAIN_GAIN""]"
w6-tool-055-legacy-default-v1,3,3,3,"{""BOTH_DETECTED"": 3}","[""NOT_A_C0_MISS_REFERENCE""]","[""FOLD_SHIFT_CONFIGURATION_ABSENT_FROM_TRAIN"", ""FOLD_SHIFT_ZERO_MARGINAL_TRAIN_GAIN""]"
w6-tool-056-legacy-default-v1,9,9,9,"{""BOTH_DETECTED"": 9}","[""NOT_A_C0_MISS_REFERENCE""]","[""BUDGET_OR_COMPLEXITY"", ""FOLD_SHIFT_ZERO_MARGINAL_TRAIN_GAIN""]"
w6-tool-058-legacy-default-v1,9,0,9,"{""SINGLE_ONLY"": 9}","[""SIGNAL_WITHOUT_CROSS_REFERENCE""]","[""BUDGET_OR_COMPLEXITY"", ""FOLD_SHIFT_ZERO_MARGINAL_TRAIN_GAIN""]"
w9-rule-boundary-cdp-platform-only-v1,3,3,0,"{""CROSS_ONLY"": 3}","[""NOT_A_C0_MISS_REFERENCE""]","[""BUDGET_OR_COMPLEXITY"", ""FOLD_SHIFT_CONFIGURATION_ABSENT_FROM_TRAIN"", ""FOLD_SHIFT_ZERO_MARGINAL_TRAIN_GAIN""]"
w9-rule-boundary-cdp-resource-pair-v1,3,0,3,"{""SINGLE_ONLY"": 3}","[""REPRESENTATION_GAP""]","[""BUDGET_OR_COMPLEXITY"", ""FOLD_SHIFT_CONFIGURATION_ABSENT_FROM_TRAIN"", ""FOLD_SHIFT_ZERO_MARGINAL_TRAIN_GAIN""]"
w9-rule-boundary-cdp-ua-only-v1,3,3,0,"{""CROSS_ONLY"": 3}","[""NOT_A_C0_MISS_REFERENCE""]","[""FOLD_SHIFT_CONFIGURATION_ABSENT_FROM_TRAIN"", ""FOLD_SHIFT_ZERO_MARGINAL_TRAIN_GAIN""]"
w9-rule-boundary-cdp-ua-platform-desktop-v1,3,3,0,"{""CROSS_ONLY"": 3}","[""NOT_A_C0_MISS_REFERENCE""]","[""BUDGET_OR_COMPLEXITY"", ""FOLD_SHIFT_CONFIGURATION_ABSENT_FROM_TRAIN"", ""FOLD_SHIFT_ZERO_MARGINAL_TRAIN_GAIN""]"
w9-rule-boundary-cdp-webdriver-only-v1,3,0,0,"{""BOTH_MISSED"": 3}","[""SIGNAL_WITHOUT_CROSS_REFERENCE""]","[""FOLD_SHIFT_CONFIGURATION_ABSENT_FROM_TRAIN"", ""FOLD_SHIFT_ZERO_MARGINAL_TRAIN_GAIN""]"
w9-stealth-boundary-languages-only-v1,3,0,0,"{""BOTH_MISSED"": 3}","[""REPRESENTATION_GAP""]","[""FOLD_SHIFT_CONFIGURATION_ABSENT_FROM_TRAIN"", ""FOLD_SHIFT_ZERO_MARGINAL_TRAIN_GAIN""]"
w9-stealth-boundary-plugins-mime-v1,3,0,0,"{""BOTH_MISSED"": 3}","[""SIGNAL_WITHOUT_CROSS_REFERENCE""]","[""FOLD_SHIFT_CONFIGURATION_ABSENT_FROM_TRAIN"", ""FOLD_SHIFT_ZERO_MARGINAL_TRAIN_GAIN""]"
w9-stealth-boundary-webgl-pair-v1,3,0,0,"{""BOTH_MISSED"": 3}","[""MEASUREMENT_UNAVAILABLE""]","[""FOLD_SHIFT_CONFIGURATION_ABSENT_FROM_TRAIN""]"
