representation,stratum,attack_tpr_k,attack_tpr_n,attack_tpr,clean_alarm_rate_k,clean_alarm_rate_n,clean_alarm_rate,pre_alarm_rate_k,pre_alarm_rate_n,pre_alarm_rate,post_alarm_rate_k,post_alarm_rate_n,post_alarm_rate,decided_clean_alarm_rate_k,decided_clean_alarm_rate_n,decided_clean_alarm_rate,decision_coverage_k,decision_coverage_n,decision_coverage,abstention_rate_k,abstention_rate_n,abstention_rate,failure_rate_k,failure_rate_n,failure_rate,atom_coverage_k,atom_coverage_n,atom_coverage,clause_coverage_k,clause_coverage_n,clause_coverage,MacroTPR_config_environment_k,MacroTPR_config_environment_n,MacroTPR_config_environment,exact_FTF_k,exact_FTF_n,exact_FTF,conditional_recovery_k,conditional_recovery_n,conditional_recovery
C0,LOEO-v1-01,6,9,0.6666666666666666,0,18,0.0,0,9,0.0,0,9,0.0,0,18,0.0,27,27,1.0,0,27,0.0,0,27,0.0,27,27,1.0,27,27,1.0,2.0,3,0.6666666666666666,6,9,0.6666666666666666,6,6,1.0
C0,LOEO-v1-02,3,6,0.5,0,12,0.0,0,6,0.0,0,6,0.0,0,12,0.0,18,18,1.0,0,18,0.0,0,18,0.0,18,18,1.0,18,18,1.0,1.0,2,0.5,3,6,0.5,3,3,1.0
C0,LOEO-v1-03,15,39,0.38461538461538464,0,78,0.0,0,39,0.0,0,39,0.0,0,78,0.0,117,117,1.0,0,117,0.0,0,117,0.0,117,117,1.0,117,117,1.0,5.0,13,0.38461538461538464,15,39,0.38461538461538464,15,15,1.0
W0,LOEO-v1-01,9,9,1.0,0,18,0.0,0,9,0.0,0,9,0.0,0,18,0.0,27,27,1.0,0,27,0.0,0,27,0.0,162,162,1.0,162,162,1.0,3.0,3,1.0,9,9,1.0,9,9,1.0
W0,LOEO-v1-02,6,6,1.0,0,12,0.0,0,6,0.0,0,6,0.0,0,12,0.0,18,18,1.0,0,18,0.0,0,18,0.0,108,108,1.0,108,108,1.0,2.0,2,1.0,6,6,1.0,6,6,1.0
W0,LOEO-v1-03,12,39,0.3076923076923077,0,78,0.0,0,39,0.0,0,39,0.0,0,78,0.0,117,117,1.0,0,117,0.0,0,117,0.0,117,117,1.0,117,117,1.0,4.0,13,0.3076923076923077,12,39,0.3076923076923077,12,12,1.0
POST_HOC_ENSEMBLE_DIAGNOSTIC,LOEO-v1-01,9,9,1.0,0,18,0.0,0,9,0.0,0,9,0.0,0,18,0.0,27,27,1.0,0,27,0.0,0,27,0.0,189,189,1.0,189,189,1.0,3.0,3,1.0,9,9,1.0,9,9,1.0
POST_HOC_ENSEMBLE_DIAGNOSTIC,LOEO-v1-02,6,6,1.0,0,12,0.0,0,6,0.0,0,6,0.0,0,12,0.0,18,18,1.0,0,18,0.0,0,18,0.0,126,126,1.0,126,126,1.0,2.0,2,1.0,6,6,1.0,6,6,1.0
POST_HOC_ENSEMBLE_DIAGNOSTIC,LOEO-v1-03,21,39,0.5384615384615384,0,78,0.0,0,39,0.0,0,39,0.0,0,78,0.0,117,117,1.0,0,117,0.0,0,117,0.0,234,234,1.0,234,234,1.0,7.0,13,0.5384615384615384,21,39,0.5384615384615384,21,21,1.0
S_FLAT,LOEO-v1-01,9,9,1.0,0,18,0.0,0,9,0.0,0,9,0.0,0,18,0.0,27,27,1.0,0,27,0.0,0,27,0.0,162,162,1.0,162,162,1.0,3.0,3,1.0,9,9,1.0,9,9,1.0
S_FLAT,LOEO-v1-02,6,6,1.0,0,12,0.0,0,6,0.0,0,6,0.0,0,12,0.0,18,18,1.0,0,18,0.0,0,18,0.0,108,108,1.0,108,108,1.0,2.0,2,1.0,6,6,1.0,6,6,1.0
S_FLAT,LOEO-v1-03,12,39,0.3076923076923077,0,78,0.0,0,39,0.0,0,39,0.0,0,78,0.0,117,117,1.0,0,117,0.0,0,117,0.0,117,117,1.0,117,117,1.0,4.0,13,0.3076923076923077,12,39,0.3076923076923077,12,12,1.0
J0,LOEO-v1-01,9,9,1.0,0,18,0.0,0,9,0.0,0,9,0.0,0,18,0.0,27,27,1.0,0,27,0.0,0,27,0.0,162,162,1.0,162,162,1.0,3.0,3,1.0,9,9,1.0,9,9,1.0
J0,LOEO-v1-02,6,6,1.0,0,12,0.0,0,6,0.0,0,6,0.0,0,12,0.0,18,18,1.0,0,18,0.0,0,18,0.0,108,108,1.0,108,108,1.0,2.0,2,1.0,6,6,1.0,6,6,1.0
J0,LOEO-v1-03,12,39,0.3076923076923077,0,78,0.0,0,39,0.0,0,39,0.0,0,78,0.0,117,117,1.0,0,117,0.0,0,117,0.0,117,117,1.0,117,117,1.0,4.0,13,0.3076923076923077,12,39,0.3076923076923077,12,12,1.0
