spec_id,stratum,attack_tpr_k,attack_tpr_n,attack_tpr,attack_tpr_status,clean_alarm_rate_k,clean_alarm_rate_n,clean_alarm_rate,clean_alarm_rate_status,pre_alarm_rate_k,pre_alarm_rate_n,pre_alarm_rate,pre_alarm_rate_status,post_alarm_rate_k,post_alarm_rate_n,post_alarm_rate,post_alarm_rate_status,decided_clean_alarm_rate_k,decided_clean_alarm_rate_n,decided_clean_alarm_rate,decided_clean_alarm_rate_status,decision_coverage_k,decision_coverage_n,decision_coverage,decision_coverage_status,abstention_rate_k,abstention_rate_n,abstention_rate,abstention_rate_status,failure_rate_k,failure_rate_n,failure_rate,failure_rate_status,atom_coverage_k,atom_coverage_n,atom_coverage,atom_coverage_status,clause_coverage_k,clause_coverage_n,clause_coverage,clause_coverage_status,MacroTPR_config_environment_k,MacroTPR_config_environment_n,MacroTPR_config_environment,MacroTPR_config_environment_status,exact_FTF_k,exact_FTF_n,exact_FTF,exact_FTF_status,conditional_recovery_k,conditional_recovery_n,conditional_recovery,conditional_recovery_status
C0,LOEO-v1-01,6,9,0.6666666666666666,OK,0,18,0.0,OK,0,9,0.0,OK,0,9,0.0,OK,0,18,0.0,OK,27,27,1.0,OK,0,27,0.0,OK,0,27,0.0,OK,27,27,1.0,OK,27,27,1.0,OK,2.0,3,0.6666666666666666,OK,6,9,0.6666666666666666,OK,6,6,1.0,OK
C0,LOEO-v1-02,3,6,0.5,OK,0,12,0.0,OK,0,6,0.0,OK,0,6,0.0,OK,0,12,0.0,OK,18,18,1.0,OK,0,18,0.0,OK,0,18,0.0,OK,18,18,1.0,OK,18,18,1.0,OK,1.0,2,0.5,OK,3,6,0.5,OK,3,3,1.0,OK
C0,LOEO-v1-03,15,39,0.38461538461538464,OK,0,78,0.0,OK,0,39,0.0,OK,0,39,0.0,OK,0,78,0.0,OK,117,117,1.0,OK,0,117,0.0,OK,0,117,0.0,OK,117,117,1.0,OK,117,117,1.0,OK,5.0,13,0.38461538461538464,OK,15,39,0.38461538461538464,OK,15,15,1.0,OK
W0,LOEO-v1-01,9,9,1.0,OK,0,18,0.0,OK,0,9,0.0,OK,0,9,0.0,OK,0,18,0.0,OK,27,27,1.0,OK,0,27,0.0,OK,0,27,0.0,OK,162,162,1.0,OK,162,162,1.0,OK,3.0,3,1.0,OK,9,9,1.0,OK,9,9,1.0,OK
W0,LOEO-v1-02,6,6,1.0,OK,0,12,0.0,OK,0,6,0.0,OK,0,6,0.0,OK,0,12,0.0,OK,18,18,1.0,OK,0,18,0.0,OK,0,18,0.0,OK,108,108,1.0,OK,108,108,1.0,OK,2.0,2,1.0,OK,6,6,1.0,OK,6,6,1.0,OK
W0,LOEO-v1-03,12,39,0.3076923076923077,OK,0,78,0.0,OK,0,39,0.0,OK,0,39,0.0,OK,0,78,0.0,OK,117,117,1.0,OK,0,117,0.0,OK,0,117,0.0,OK,117,117,1.0,OK,117,117,1.0,OK,4.0,13,0.3076923076923077,OK,12,39,0.3076923076923077,OK,12,12,1.0,OK
S_FLAT,LOEO-v1-01,9,9,1.0,OK,0,18,0.0,OK,0,9,0.0,OK,0,9,0.0,OK,0,18,0.0,OK,27,27,1.0,OK,0,27,0.0,OK,0,27,0.0,OK,162,162,1.0,OK,162,162,1.0,OK,3.0,3,1.0,OK,9,9,1.0,OK,9,9,1.0,OK
S_FLAT,LOEO-v1-02,6,6,1.0,OK,0,12,0.0,OK,0,6,0.0,OK,0,6,0.0,OK,0,12,0.0,OK,18,18,1.0,OK,0,18,0.0,OK,0,18,0.0,OK,108,108,1.0,OK,108,108,1.0,OK,2.0,2,1.0,OK,6,6,1.0,OK,6,6,1.0,OK
S_FLAT,LOEO-v1-03,12,39,0.3076923076923077,OK,0,78,0.0,OK,0,39,0.0,OK,0,39,0.0,OK,0,78,0.0,OK,117,117,1.0,OK,0,117,0.0,OK,0,117,0.0,OK,117,117,1.0,OK,117,117,1.0,OK,4.0,13,0.3076923076923077,OK,12,39,0.3076923076923077,OK,12,12,1.0,OK
J0,LOEO-v1-01,9,9,1.0,OK,0,18,0.0,OK,0,9,0.0,OK,0,9,0.0,OK,0,18,0.0,OK,27,27,1.0,OK,0,27,0.0,OK,0,27,0.0,OK,162,162,1.0,OK,162,162,1.0,OK,3.0,3,1.0,OK,9,9,1.0,OK,9,9,1.0,OK
