clause_id,eligible,selected,signal_group,reasons,triplets,true_attack_triplets,bundles,environments,phase_availability,singleton_train_clean_alarms,job_id,spec_id,fold_id
V2REL:FIXED_NATIVE_VS_WEB_OFFSET_DIFFERS:NEGATIVE,True,False,timezone_semantics,"[""STRUCTURE_OR_FAMILY_LIMIT"", ""SET_CLEAN_BUDGET"", ""FINAL_SET_CONSTRAINT""]",45,42,14,2,"{""clean_pre"": {""expected"": 45, ""defined"": 45, ""T"": 45, ""F"": 0, ""U"": 0, ""FAILED"": 0}, ""attack"": {""expected"": 45, ""defined"": 45, ""T"": 42, ""F"": 3, ""U"": 0, ""FAILED"": 0}, ""clean_post"": {""expected"": 45, ""defined"": 45, ""T"": 45, ""F"": 0, ""U"": 0, ""FAILED"": 0}}",90,B02_relations__CX__GREEDY_OR__LOEO-v1-01,CX__GREEDY_OR,LOEO-v1-01
V2REL:FIXED_NATIVE_VS_WEB_OFFSET_DIFFERS:POSITIVE,True,True,timezone_semantics,"[""SPARSE_INITIALIZATION""]",45,3,1,1,"{""clean_pre"": {""expected"": 45, ""defined"": 45, ""T"": 0, ""F"": 45, ""U"": 0, ""FAILED"": 0}, ""attack"": {""expected"": 45, ""defined"": 45, ""T"": 3, ""F"": 42, ""U"": 0, ""FAILED"": 0}, ""clean_post"": {""expected"": 45, ""defined"": 45, ""T"": 0, ""F"": 45, ""U"": 0, ""FAILED"": 0}}",0,B02_relations__CX__GREEDY_OR__LOEO-v1-01,CX__GREEDY_OR,LOEO-v1-01
V2REL:LANG_NATIVE_PRIMARY_ABSENT_WEB_LIST:NEGATIVE,True,False,language_preferences,"[""STRUCTURE_OR_FAMILY_LIMIT"", ""SET_CLEAN_BUDGET"", ""FINAL_SET_CONSTRAINT""]",45,42,14,2,"{""clean_pre"": {""expected"": 45, ""defined"": 45, ""T"": 45, ""F"": 0, ""U"": 0, ""FAILED"": 0}, ""attack"": {""expected"": 45, ""defined"": 45, ""T"": 42, ""F"": 3, ""U"": 0, ""FAILED"": 0}, ""clean_post"": {""expected"": 45, ""defined"": 45, ""T"": 45, ""F"": 0, ""U"": 0, ""FAILED"": 0}}",90,B02_relations__CX__GREEDY_OR__LOEO-v1-01,CX__GREEDY_OR,LOEO-v1-01
V2REL:LANG_NATIVE_PRIMARY_ABSENT_WEB_LIST:POSITIVE,True,True,language_preferences,"[""SPARSE_INITIALIZATION""]",45,3,1,1,"{""clean_pre"": {""expected"": 45, ""defined"": 45, ""T"": 0, ""F"": 45, ""U"": 0, ""FAILED"": 0}, ""attack"": {""expected"": 45, ""defined"": 45, ""T"": 3, ""F"": 42, ""U"": 0, ""FAILED"": 0}, ""clean_post"": {""expected"": 45, ""defined"": 45, ""T"": 0, ""F"": 45, ""U"": 0, ""FAILED"": 0}}",0,B02_relations__CX__GREEDY_OR__LOEO-v1-01,CX__GREEDY_OR,LOEO-v1-01
V2REL:LANG_NATIVE_WEB_PRIMARY_DIFFERS:NEGATIVE,True,False,language_preferences,"[""SET_CLEAN_BUDGET"", ""FINAL_SET_CONSTRAINT""]",45,45,15,2,"{""clean_pre"": {""expected"": 45, ""defined"": 45, ""T"": 45, ""F"": 0, ""U"": 0, ""FAILED"": 0}, ""attack"": {""expected"": 45, ""defined"": 45, ""T"": 45, ""F"": 0, ""U"": 0, ""FAILED"": 0}, ""clean_post"": {""expected"": 45, ""defined"": 45, ""T"": 45, ""F"": 0, ""U"": 0, ""FAILED"": 0}}",90,B02_relations__CX__GREEDY_OR__LOEO-v1-01,CX__GREEDY_OR,LOEO-v1-01
V2REL:LANG_NATIVE_WEB_PRIMARY_DIFFERS:POSITIVE,False,False,language_preferences,"[""INSUFFICIENT_TRAIN_SUPPORT""]",45,0,0,0,"{""clean_pre"": {""expected"": 45, ""defined"": 45, ""T"": 0, ""F"": 45, ""U"": 0, ""FAILED"": 0}, ""attack"": {""expected"": 45, ""defined"": 45, ""T"": 0, ""F"": 45, ""U"": 0, ""FAILED"": 0}, ""clean_post"": {""expected"": 45, ""defined"": 45, ""T"": 0, ""F"": 45, ""U"": 0, ""FAILED"": 0}}",0,B02_relations__CX__GREEDY_OR__LOEO-v1-01,CX__GREEDY_OR,LOEO-v1-01
V2REL:MEMORY_WEB_NATIVE_RATIO:LE:0.8283127343161247:NEGATIVE,True,False,memory_capacity,"[""SET_CLEAN_BUDGET"", ""FINAL_SET_CONSTRAINT""]",45,30,10,2,"{""clean_pre"": {""expected"": 45, ""defined"": 45, ""T"": 24, ""F"": 21, ""U"": 0, ""FAILED"": 0}, ""attack"": {""expected"": 45, ""defined"": 45, ""T"": 30, ""F"": 15, ""U"": 0, ""FAILED"": 0}, ""clean_post"": {""expected"": 45, ""defined"": 45, ""T"": 24, ""F"": 21, ""U"": 0, ""FAILED"": 0}}",48,B02_relations__CX__GREEDY_OR__LOEO-v1-01,CX__GREEDY_OR,LOEO-v1-01
V2REL:MEMORY_WEB_NATIVE_RATIO:LE:0.8283127343161247:POSITIVE,True,False,memory_capacity,"[""SET_CLEAN_BUDGET"", ""FINAL_SET_CONSTRAINT""]",45,15,5,2,"{""clean_pre"": {""expected"": 45, ""defined"": 45, ""T"": 21, ""F"": 24, ""U"": 0, ""FAILED"": 0}, ""attack"": {""expected"": 45, ""defined"": 45, ""T"": 15, ""F"": 30, ""U"": 0, ""FAILED"": 0}, ""clean_post"": {""expected"": 45, ""defined"": 45, ""T"": 21, ""F"": 24, ""U"": 0, ""FAILED"": 0}}",42,B02_relations__CX__GREEDY_OR__LOEO-v1-01,CX__GREEDY_OR,LOEO-v1-01
V2REL:MEMORY_WEB_NATIVE_RATIO:LE:0.8283140429538769:NEGATIVE,True,True,memory_capacity,"[""SPARSE_INITIALIZATION""]",45,12,4,2,"{""clean_pre"": {""expected"": 45, ""defined"": 45, ""T"": 0, ""F"": 45, ""U"": 0, ""FAILED"": 0}, ""attack"": {""expected"": 45, ""defined"": 45, ""T"": 12, ""F"": 33, ""U"": 0, ""FAILED"": 0}, ""clean_post"": {""expected"": 45, ""defined"": 45, ""T"": 0, ""F"": 45, ""U"": 0, ""FAILED"": 0}}",0,B02_relations__CX__GREEDY_OR__LOEO-v1-01,CX__GREEDY_OR,LOEO-v1-01
V2REL:MEMORY_WEB_NATIVE_RATIO:LE:0.8283140429538769:POSITIVE,True,False,memory_capacity,"[""STRUCTURE_OR_FAMILY_LIMIT"", ""SET_CLEAN_BUDGET"", ""FINAL_SET_CONSTRAINT""]",45,33,11,2,"{""clean_pre"": {""expected"": 45, ""defined"": 45, ""T"": 45, ""F"": 0, ""U"": 0, ""FAILED"": 0}, ""attack"": {""expected"": 45, ""defined"": 45, ""T"": 33, ""F"": 12, ""U"": 0, ""FAILED"": 0}, ""clean_post"": {""expected"": 45, ""defined"": 45, ""T"": 45, ""F"": 0, ""U"": 0, ""FAILED"": 0}}",90,B02_relations__CX__GREEDY_OR__LOEO-v1-01,CX__GREEDY_OR,LOEO-v1-01
V2REL:FIXED_NATIVE_VS_WEB_OFFSET_DIFFERS:NEGATIVE,True,False,timezone_semantics,"[""STRUCTURE_OR_FAMILY_LIMIT"", ""SET_CLEAN_BUDGET"", ""FINAL_SET_CONSTRAINT""]",48,45,15,2,"{""clean_pre"": {""expected"": 48, ""defined"": 48, ""T"": 48, ""F"": 0, ""U"": 0, ""FAILED"": 0}, ""attack"": {""expected"": 48, ""defined"": 48, ""T"": 45, ""F"": 3, ""U"": 0, ""FAILED"": 0}, ""clean_post"": {""expected"": 48, ""defined"": 48, ""T"": 48, ""F"": 0, ""U"": 0, ""FAILED"": 0}}",96,B02_relations__CX__GREEDY_OR__LOEO-v1-02,CX__GREEDY_OR,LOEO-v1-02
