rule_a,group_a,rule_b,group_b,family_a,family_b,relation,shared_fields,same_decision_family,independent_support_from_source_membership,reason
CORE-002,E,NVW-001,E,featureapp_bridge,model_system_agent,no_declared_input_overlap,,False,False,field overlap does not prove either equivalent predicates or statistical independence
CORE-002,E,NVW-002,E,featureapp_bridge,host_os,no_declared_input_overlap,,False,False,field overlap does not prove either equivalent predicates or statistical independence
CORE-002,E,NVW-003,C,featureapp_bridge,deployment_identity,no_declared_input_overlap,,False,False,field overlap does not prove either equivalent predicates or statistical independence
CORE-002,E,NVW-004,C,featureapp_bridge,installer_context,no_declared_input_overlap,,False,False,field overlap does not prove either equivalent predicates or statistical independence
CORE-002,E,NVW-005,E,featureapp_bridge,debug_cleartext,no_declared_input_overlap,,False,False,field overlap does not prove either equivalent predicates or statistical independence
CORE-002,E,NW-001,E,featureapp_bridge,model_app_ua,no_declared_input_overlap,,False,False,field overlap does not prove either equivalent predicates or statistical independence
CORE-002,E,NW-002,E,featureapp_bridge,app_os,no_declared_input_overlap,,False,False,field overlap does not prove either equivalent predicates or statistical independence
CORE-002,E,NW-005,E,featureapp_bridge,native_app_gpu_family,no_declared_input_overlap,,False,False,field overlap does not prove either equivalent predicates or statistical independence
CORE-002,E,NW-006,E,featureapp_bridge,app_surface,no_declared_input_overlap,,False,False,field overlap does not prove either equivalent predicates or statistical independence
CORE-002,E,NW-007,E,featureapp_bridge,mobile_touch,no_declared_input_overlap,,False,False,field overlap does not prove either equivalent predicates or statistical independence
CORE-002,E,OFFDER-BRIDGE-001,O_u,featureapp_bridge,featureapp_bridge,exact_duplicate_on_common_valid_domain,app.webview_data.bridge_routing_layer.jsbridge_injected,True,False,same bridge boolean within the fixed FeatureApp projection contract; no sensor-count branch
CORE-002,E,OFFDER-DEVCONFIG-001,O_u,featureapp_bridge,debug_cleartext,no_declared_input_overlap,,False,False,field overlap does not prove either equivalent predicates or statistical independence
CORE-002,E,OFFDER-GPU-001,O_u,featureapp_bridge,native_app_gpu_family,no_declared_input_overlap,,False,False,field overlap does not prove either equivalent predicates or statistical independence
CORE-002,E,OFFDER-NET-001,O_u,featureapp_bridge,network_context,no_declared_input_overlap,,False,False,field overlap does not prove either equivalent predicates or statistical independence
CORE-002,E,OFFDER-OS-001,O_u,featureapp_bridge,app_os,no_declared_input_overlap,,False,False,field overlap does not prove either equivalent predicates or statistical independence
CORE-002,E,OFFDER-OS-002,O_u,featureapp_bridge,host_os,no_declared_input_overlap,,False,False,field overlap does not prove either equivalent predicates or statistical independence
CORE-002,E,OFFDER-PACKAGE-001,C,featureapp_bridge,deployment_identity,no_declared_input_overlap,,False,False,field overlap does not prove either equivalent predicates or statistical independence
CORE-002,E,OFFDER-TOUCH-001,O_u,featureapp_bridge,mobile_touch,no_declared_input_overlap,,False,False,field overlap does not prove either equivalent predicates or statistical independence
CORE-002,E,OFFDER-UA-001,O_u,featureapp_bridge,app_surface,no_declared_input_overlap,,False,False,field overlap does not prove either equivalent predicates or statistical independence
CORE-002,E,OFFDER-UA-002,O_u,featureapp_bridge,host_ua,no_declared_input_overlap,,False,False,field overlap does not prove either equivalent predicates or statistical independence
CORE-002,E,P3-COLOR-APP,H,featureapp_bridge,P3-COLOR-APP,no_declared_input_overlap,,False,False,field overlap does not prove either equivalent predicates or statistical independence
CORE-002,E,P3-COLOR-BROWSER,H,featureapp_bridge,P3-COLOR-BROWSER,no_declared_input_overlap,,False,False,field overlap does not prove either equivalent predicates or statistical independence
CORE-002,E,P3-GPU-COPY,C,featureapp_bridge,native_app_gpu_family,no_declared_input_overlap,,False,False,field overlap does not prove either equivalent predicates or statistical independence
CORE-002,E,P3-MEM-AVAILABLE,H,featureapp_bridge,P3-MEM-AVAILABLE,no_declared_input_overlap,,False,False,field overlap does not prove either equivalent predicates or statistical independence
CORE-002,E,P3-PROVIDER-PARSE,C,featureapp_bridge,P3-PROVIDER-PARSE,no_declared_input_overlap,,False,False,field overlap does not prove either equivalent predicates or statistical independence
