study_version,run_id,protocol_digest,execution_scope,schema_version,variant_id,stratum,stratum_value,metric,k,n,rate,no_alert,abstain,failed,coverage,status,interval_method,source_ref
formal-manipulation-v1,s04-synthetic-denominators-v2,SYNTHETIC_HAND_DECLARED_PROTOCOL_V2,SYNTHETIC_CONTRACT_TEST,formal-figure-point-v2,final_v3_v2:App177:SRC-111,overall,ALL,positive_TPR,1,4,0.25,1,1,1,0.5,INCOMPLETE,NO_POPULATION_CI_RELATED_ENVIRONMENT_GROUPS,metrics.json#variant=final_v3_v2:App177:SRC-111;stratum=overall:ALL;metric=positive_TPR
formal-manipulation-v1,s04-synthetic-denominators-v2,SYNTHETIC_HAND_DECLARED_PROTOCOL_V2,SYNTHETIC_CONTRACT_TEST,formal-figure-point-v2,final_v3_v2:App177:SRC-111,overall,ALL,primary_control_mid_FPR,1,4,0.25,1,1,1,0.5,INCOMPLETE,NO_POPULATION_CI_RELATED_ENVIRONMENT_GROUPS,metrics.json#variant=final_v3_v2:App177:SRC-111;stratum=overall:ALL;metric=primary_control_mid_FPR
formal-manipulation-v1,s04-synthetic-denominators-v2,SYNTHETIC_HAND_DECLARED_PROTOCOL_V2,SYNTHETIC_CONTRACT_TEST,formal-figure-point-v2,final_v3_v2:App177:SRC-111,overall,ALL,clean_pre_FPR,0,2,0.0,1,1,0,0.5,COMPLETE,NO_POPULATION_CI_RELATED_ENVIRONMENT_GROUPS,metrics.json#variant=final_v3_v2:App177:SRC-111;stratum=overall:ALL;metric=clean_pre_FPR
formal-manipulation-v1,s04-synthetic-denominators-v2,SYNTHETIC_HAND_DECLARED_PROTOCOL_V2,SYNTHETIC_CONTRACT_TEST,formal-figure-point-v2,final_v3_v2:App177:SRC-111,overall,ALL,clean_post_FPR,0,2,0.0,1,0,1,0.5,INCOMPLETE,NO_POPULATION_CI_RELATED_ENVIRONMENT_GROUPS,metrics.json#variant=final_v3_v2:App177:SRC-111;stratum=overall:ALL;metric=clean_post_FPR
formal-manipulation-v1,s04-synthetic-denominators-v2,SYNTHETIC_HAND_DECLARED_PROTOCOL_V2,SYNTHETIC_CONTRACT_TEST,formal-figure-point-v2,final_v3_v2:App177:SRC-111,configuration_id,cfg-a,positive_TPR,1,2,0.5,0,0,1,0.5,INCOMPLETE,NO_POPULATION_CI_RELATED_ENVIRONMENT_GROUPS,metrics.json#variant=final_v3_v2:App177:SRC-111;stratum=configuration_id:cfg-a;metric=positive_TPR
formal-manipulation-v1,s04-synthetic-denominators-v2,SYNTHETIC_HAND_DECLARED_PROTOCOL_V2,SYNTHETIC_CONTRACT_TEST,formal-figure-point-v2,final_v3_v2:App177:SRC-111,configuration_id,cfg-a,primary_control_mid_FPR,0,0,,0,0,0,,NOT_EVALUATED_NO_ELIGIBLE_LABELS,NO_POPULATION_CI_RELATED_ENVIRONMENT_GROUPS,metrics.json#variant=final_v3_v2:App177:SRC-111;stratum=configuration_id:cfg-a;metric=primary_control_mid_FPR
formal-manipulation-v1,s04-synthetic-denominators-v2,SYNTHETIC_HAND_DECLARED_PROTOCOL_V2,SYNTHETIC_CONTRACT_TEST,formal-figure-point-v2,final_v3_v2:App177:SRC-111,configuration_id,cfg-a,clean_pre_FPR,0,2,0.0,1,1,0,0.5,COMPLETE,NO_POPULATION_CI_RELATED_ENVIRONMENT_GROUPS,metrics.json#variant=final_v3_v2:App177:SRC-111;stratum=configuration_id:cfg-a;metric=clean_pre_FPR
formal-manipulation-v1,s04-synthetic-denominators-v2,SYNTHETIC_HAND_DECLARED_PROTOCOL_V2,SYNTHETIC_CONTRACT_TEST,formal-figure-point-v2,final_v3_v2:App177:SRC-111,configuration_id,cfg-a,clean_post_FPR,0,2,0.0,1,0,1,0.5,INCOMPLETE,NO_POPULATION_CI_RELATED_ENVIRONMENT_GROUPS,metrics.json#variant=final_v3_v2:App177:SRC-111;stratum=configuration_id:cfg-a;metric=clean_post_FPR
formal-manipulation-v1,s04-synthetic-denominators-v2,SYNTHETIC_HAND_DECLARED_PROTOCOL_V2,SYNTHETIC_CONTRACT_TEST,formal-figure-point-v2,final_v3_v2:App177:SRC-111,configuration_id,cfg-b,positive_TPR,0,2,0.0,1,1,0,0.5,COMPLETE,NO_POPULATION_CI_RELATED_ENVIRONMENT_GROUPS,metrics.json#variant=final_v3_v2:App177:SRC-111;stratum=configuration_id:cfg-b;metric=positive_TPR
formal-manipulation-v1,s04-synthetic-denominators-v2,SYNTHETIC_HAND_DECLARED_PROTOCOL_V2,SYNTHETIC_CONTRACT_TEST,formal-figure-point-v2,final_v3_v2:App177:SRC-111,configuration_id,cfg-b,primary_control_mid_FPR,1,4,0.25,1,1,1,0.5,INCOMPLETE,NO_POPULATION_CI_RELATED_ENVIRONMENT_GROUPS,metrics.json#variant=final_v3_v2:App177:SRC-111;stratum=configuration_id:cfg-b;metric=primary_control_mid_FPR
