study_version,run_id,protocol_digest,execution_scope,schema_version,opaque_id,variant_id,phase,triplet_id,configuration_id,cohort,decision,score,source_ref
formal-manipulation-v1,s04-synthetic-denominators-v2,SYNTHETIC_HAND_DECLARED_PROTOCOL_V2,SYNTHETIC_CONTRACT_TEST,formal-figure-stage-v2,sample-synthetic-001,final_v3_v2:App177:SRC-111,clean_pre,t1,cfg-a,synthetic_negative,NO_ALERT,0,evaluation_joined.jsonl#row=1
formal-manipulation-v1,s04-synthetic-denominators-v2,SYNTHETIC_HAND_DECLARED_PROTOCOL_V2,SYNTHETIC_CONTRACT_TEST,formal-figure-stage-v2,sample-synthetic-002,final_v3_v2:App177:SRC-111,attack,t1,cfg-a,synthetic_positive,MANIPULATION_ALERT,1,evaluation_joined.jsonl#row=2
formal-manipulation-v1,s04-synthetic-denominators-v2,SYNTHETIC_HAND_DECLARED_PROTOCOL_V2,SYNTHETIC_CONTRACT_TEST,formal-figure-stage-v2,sample-synthetic-003,final_v3_v2:App177:SRC-111,clean_post,t1,cfg-a,synthetic_negative,NO_ALERT,0,evaluation_joined.jsonl#row=3
formal-manipulation-v1,s04-synthetic-denominators-v2,SYNTHETIC_HAND_DECLARED_PROTOCOL_V2,SYNTHETIC_CONTRACT_TEST,formal-figure-stage-v2,sample-synthetic-004,final_v3_v2:App177:SRC-111,clean_pre,t2,cfg-a,synthetic_negative,INSUFFICIENT_EVIDENCE,0,evaluation_joined.jsonl#row=4
formal-manipulation-v1,s04-synthetic-denominators-v2,SYNTHETIC_HAND_DECLARED_PROTOCOL_V2,SYNTHETIC_CONTRACT_TEST,formal-figure-stage-v2,sample-synthetic-005,final_v3_v2:App177:SRC-111,attack,t2,cfg-a,synthetic_positive,FAILED,,evaluation_joined.jsonl#row=5
formal-manipulation-v1,s04-synthetic-denominators-v2,SYNTHETIC_HAND_DECLARED_PROTOCOL_V2,SYNTHETIC_CONTRACT_TEST,formal-figure-stage-v2,sample-synthetic-006,final_v3_v2:App177:SRC-111,clean_post,t2,cfg-a,synthetic_negative,FAILED,,evaluation_joined.jsonl#row=6
formal-manipulation-v1,s04-synthetic-denominators-v2,SYNTHETIC_HAND_DECLARED_PROTOCOL_V2,SYNTHETIC_CONTRACT_TEST,formal-figure-stage-v2,sample-synthetic-007,final_v3_v2:App177:SRC-111,attack,t3,cfg-b,synthetic_positive,NO_ALERT,0,evaluation_joined.jsonl#row=7
formal-manipulation-v1,s04-synthetic-denominators-v2,SYNTHETIC_HAND_DECLARED_PROTOCOL_V2,SYNTHETIC_CONTRACT_TEST,formal-figure-stage-v2,sample-synthetic-008,final_v3_v2:App177:SRC-111,attack,p4,cfg-b,synthetic_positive,INSUFFICIENT_EVIDENCE,0,evaluation_joined.jsonl#row=8
formal-manipulation-v1,s04-synthetic-denominators-v2,SYNTHETIC_HAND_DECLARED_PROTOCOL_V2,SYNTHETIC_CONTRACT_TEST,formal-figure-stage-v2,sample-synthetic-009,final_v3_v2:App177:SRC-111,control_mid,c1,cfg-b,synthetic_negative,MANIPULATION_ALERT,1,evaluation_joined.jsonl#row=9
formal-manipulation-v1,s04-synthetic-denominators-v2,SYNTHETIC_HAND_DECLARED_PROTOCOL_V2,SYNTHETIC_CONTRACT_TEST,formal-figure-stage-v2,sample-synthetic-010,final_v3_v2:App177:SRC-111,control_mid,c2,cfg-b,synthetic_negative,NO_ALERT,0,evaluation_joined.jsonl#row=10
formal-manipulation-v1,s04-synthetic-denominators-v2,SYNTHETIC_HAND_DECLARED_PROTOCOL_V2,SYNTHETIC_CONTRACT_TEST,formal-figure-stage-v2,sample-synthetic-011,final_v3_v2:App177:SRC-111,control_mid,c3,cfg-b,synthetic_negative,INSUFFICIENT_EVIDENCE,0,evaluation_joined.jsonl#row=11
formal-manipulation-v1,s04-synthetic-denominators-v2,SYNTHETIC_HAND_DECLARED_PROTOCOL_V2,SYNTHETIC_CONTRACT_TEST,formal-figure-stage-v2,sample-synthetic-012,final_v3_v2:App177:SRC-111,control_mid,c4,cfg-b,synthetic_negative,FAILED,,evaluation_joined.jsonl#row=12
formal-manipulation-v1,s04-synthetic-denominators-v2,SYNTHETIC_HAND_DECLARED_PROTOCOL_V2,SYNTHETIC_CONTRACT_TEST,formal-figure-stage-v2,sample-synthetic-013,final_v3_v2:App177:SRC-111,control_mid,u1,cfg-b,synthetic_unknown,MANIPULATION_ALERT,1,evaluation_joined.jsonl#row=13
formal-manipulation-v1,s04-synthetic-denominators-v2,SYNTHETIC_HAND_DECLARED_PROTOCOL_V2,SYNTHETIC_CONTRACT_TEST,formal-figure-stage-v2,sample-synthetic-014,final_v3_v2:App177:SRC-111,control_mid,u2,cfg-b,synthetic_unknown,NO_ALERT,0,evaluation_joined.jsonl#row=14
