study_version,run_id,protocol_digest,execution_scope,schema_version,variant_id,metric,n,alert,no_alert,abstain,failed,rate,decision_coverage,conditional_rate,identifiable_bounds,status,interval_method,zero_wording
formal-manipulation-v1,s06-e1-freeze-r1-20260924T044354Z,9a6cb92a5d973a42d230305e176ab9ef824bca2e8aae045dafed515ce61c0f19,FROZEN_FORMAL_EVALUATION,formal-metric-row-v2,final_v3_v2:App177:SRC-111,positive_TPR,54,0,54,0,0,0.0,1.0,0.0,"[0.0, 0.0]",COMPLETE,NO_POPULATION_CI_RELATED_ENVIRONMENT_GROUPS,0/54 observed
formal-manipulation-v1,s06-e1-freeze-r1-20260924T044354Z,9a6cb92a5d973a42d230305e176ab9ef824bca2e8aae045dafed515ce61c0f19,FROZEN_FORMAL_EVALUATION,formal-metric-row-v2,final_v3_v2:App177:SRC-111,primary_control_mid_FPR,0,0,0,0,0,,,,,NOT_EVALUATED_NO_ELIGIBLE_LABELS,NO_POPULATION_CI_RELATED_ENVIRONMENT_GROUPS,
formal-manipulation-v1,s06-e1-freeze-r1-20260924T044354Z,9a6cb92a5d973a42d230305e176ab9ef824bca2e8aae045dafed515ce61c0f19,FROZEN_FORMAL_EVALUATION,formal-metric-row-v2,final_v3_v2:App177:SRC-111,verified_negative_all,108,0,108,0,0,0.0,1.0,0.0,"[0.0, 0.0]",COMPLETE,NO_POPULATION_CI_RELATED_ENVIRONMENT_GROUPS,0/108 observed
formal-manipulation-v1,s06-e1-freeze-r1-20260924T044354Z,9a6cb92a5d973a42d230305e176ab9ef824bca2e8aae045dafed515ce61c0f19,FROZEN_FORMAL_EVALUATION,formal-metric-row-v2,final_v3_v2:App177:SRC-111,clean_pre_FPR,54,0,54,0,0,0.0,1.0,0.0,"[0.0, 0.0]",COMPLETE,NO_POPULATION_CI_RELATED_ENVIRONMENT_GROUPS,0/54 observed
formal-manipulation-v1,s06-e1-freeze-r1-20260924T044354Z,9a6cb92a5d973a42d230305e176ab9ef824bca2e8aae045dafed515ce61c0f19,FROZEN_FORMAL_EVALUATION,formal-metric-row-v2,final_v3_v2:App177:SRC-111,clean_post_FPR,54,0,54,0,0,0.0,1.0,0.0,"[0.0, 0.0]",COMPLETE,NO_POPULATION_CI_RELATED_ENVIRONMENT_GROUPS,0/54 observed
formal-manipulation-v1,s06-e1-freeze-r1-20260924T044354Z,9a6cb92a5d973a42d230305e176ab9ef824bca2e8aae045dafed515ce61c0f19,FROZEN_FORMAL_EVALUATION,formal-metric-row-v2,legacy19_v2:App177:SRC-111,positive_TPR,54,0,54,0,0,0.0,1.0,0.0,"[0.0, 0.0]",COMPLETE,NO_POPULATION_CI_RELATED_ENVIRONMENT_GROUPS,0/54 observed
formal-manipulation-v1,s06-e1-freeze-r1-20260924T044354Z,9a6cb92a5d973a42d230305e176ab9ef824bca2e8aae045dafed515ce61c0f19,FROZEN_FORMAL_EVALUATION,formal-metric-row-v2,legacy19_v2:App177:SRC-111,primary_control_mid_FPR,0,0,0,0,0,,,,,NOT_EVALUATED_NO_ELIGIBLE_LABELS,NO_POPULATION_CI_RELATED_ENVIRONMENT_GROUPS,
formal-manipulation-v1,s06-e1-freeze-r1-20260924T044354Z,9a6cb92a5d973a42d230305e176ab9ef824bca2e8aae045dafed515ce61c0f19,FROZEN_FORMAL_EVALUATION,formal-metric-row-v2,legacy19_v2:App177:SRC-111,verified_negative_all,108,0,108,0,0,0.0,1.0,0.0,"[0.0, 0.0]",COMPLETE,NO_POPULATION_CI_RELATED_ENVIRONMENT_GROUPS,0/108 observed
formal-manipulation-v1,s06-e1-freeze-r1-20260924T044354Z,9a6cb92a5d973a42d230305e176ab9ef824bca2e8aae045dafed515ce61c0f19,FROZEN_FORMAL_EVALUATION,formal-metric-row-v2,legacy19_v2:App177:SRC-111,clean_pre_FPR,54,0,54,0,0,0.0,1.0,0.0,"[0.0, 0.0]",COMPLETE,NO_POPULATION_CI_RELATED_ENVIRONMENT_GROUPS,0/54 observed
formal-manipulation-v1,s06-e1-freeze-r1-20260924T044354Z,9a6cb92a5d973a42d230305e176ab9ef824bca2e8aae045dafed515ce61c0f19,FROZEN_FORMAL_EVALUATION,formal-metric-row-v2,legacy19_v2:App177:SRC-111,clean_post_FPR,54,0,54,0,0,0.0,1.0,0.0,"[0.0, 0.0]",COMPLETE,NO_POPULATION_CI_RELATED_ENVIRONMENT_GROUPS,0/54 observed
